,res_type,state_ab,zip_code,median
6332,pizza,FL,32570.0,55854.0
6334,pizza,VA,22304.0,201141.0
6336,pizza,VA,22315.0,141414.0
6337,pizza,VA,22310.0,300000.0
6338,pizza,VA,22305.0,52927.0
6340,pizza,VA,22312.0,300000.0
6351,pizza,VA,22202.0,113550.0
6357,pizza,VA,22315.0,141414.0
6359,pizza,VA,22310.0,300000.0
6365,pizza,VA,22306.0,58295.0
6367,pizza,VA,22306.0,58295.0
6379,pizza,VA,22204.0,300000.0
6386,pizza,VA,22150.0,88102.0
6390,pizza,VA,22309.0,65387.0
6403,pizza,FL,32003.0,300000.0
6404,pizza,FL,32003.0,300000.0
6413,pizza,FL,32011.0,25171.0
6425,pizza,FL,32063.0,43196.0
6432,pizza,FL,32065.0,88279.0
6436,pizza,FL,32065.0,88279.0
6441,pizza,FL,32068.0,49944.0
6442,pizza,FL,32068.0,49944.0
6449,pizza,FL,32073.0,43800.0
6463,pizza,FL,32073.0,43800.0
6486,pizza,FL,32244.0,37446.0
6488,pizza,FL,32084.0,60742.0
6501,pizza,FL,32114.0,33511.0
6522,pizza,FL,32117.0,25573.0
6525,pizza,FL,32114.0,33511.0
6526,pizza,FL,32118.0,28511.0
6530,pizza,FL,32118.0,28511.0
6540,pizza,FL,32174.0,38699.0
6548,pizza,FL,32118.0,28511.0
6571,pizza,FL,32127.0,42981.0
6582,pizza,FL,32205.0,300000.0
6587,pizza,FL,32205.0,300000.0
6602,pizza,FL,32254.0,25471.0
6612,pizza,FL,32216.0,66153.0
6621,pizza,FL,32207.0,29766.0
6633,pizza,FL,32207.0,29766.0
6650,pizza,FL,32221.0,80713.0
6676,pizza,FL,32216.0,66153.0
6683,pizza,FL,32256.0,51507.0
6693,pizza,FL,32246.0,76513.0
6695,pizza,FL,32225.0,100253.0
6708,pizza,FL,32233.0,32107.0
6710,pizza,FL,32082.0,145715.0
6715,pizza,FL,32224.0,300000.0
6731,pizza,FL,32303.0,39098.0
6736,pizza,FL,32311.0,38546.0
6748,pizza,FL,32308.0,42408.0
6753,pizza,FL,32301.0,48248.0
6764,pizza,IL,52601.0,300000.0
6780,pizza,IL,52601.0,300000.0
6781,pizza,IL,52601.0,300000.0
6795,pizza,IL,60002.0,70658.0
6797,pizza,IL,60046.0,69791.0
6804,pizza,IL,60004.0,95962.0
6818,pizza,IL,60004.0,95962.0
6835,pizza,IL,60004.0,95962.0
6851,pizza,IL,60070.0,300000.0
6871,pizza,IL,60056.0,131178.0
