,res_type,state_ab,zip_code,median
3593,delis/diners,CA,91325.0,61041.0
3605,delis/diners,CA,91324.0,44427.0
3609,delis/diners,CA,91324.0,44427.0
3622,delis/diners,CA,91324.0,44427.0
3626,delis/diners,CA,91335.0,59693.0
3637,delis/diners,CA,91316.0,300000.0
3642,delis/diners,CA,91331.0,36414.0
3643,delis/diners,CA,91345.0,300000.0
3647,delis/diners,CA,91343.0,85144.0
3648,delis/diners,CA,91340.0,66670.0
3652,delis/diners,CA,91345.0,300000.0
3656,delis/diners,CA,91406.0,39263.0
3658,delis/diners,CA,91344.0,300000.0
3659,delis/diners,CA,91405.0,37333.0
3660,delis/diners,CA,91402.0,42001.0
3661,delis/diners,CA,91406.0,39263.0
3663,delis/diners,CA,91405.0,37333.0
3668,delis/diners,CA,91401.0,54369.0
3684,delis/diners,CA,91411.0,22542.0
3692,delis/diners,CA,91604.0,300000.0
3701,delis/diners,CA,91606.0,41169.0
3712,delis/diners,CA,91345.0,300000.0
3713,delis/diners,CA,91331.0,36414.0
3714,delis/diners,CA,91605.0,26032.0
3715,delis/diners,CA,91331.0,36414.0
3717,delis/diners,CA,91352.0,76038.0
3719,delis/diners,CA,91403.0,63169.0
3721,delis/diners,CA,91436.0,183484.0
3726,delis/diners,CA,91356.0,44404.0
3736,delis/diners,CA,91356.0,44404.0
3750,delis/diners,CA,91423.0,78022.0
3752,delis/diners,CA,91343.0,85144.0
3757,delis/diners,CA,91402.0,42001.0
3758,delis/diners,CA,91423.0,78022.0
3771,delis/diners,CA,91506.0,300000.0
3774,delis/diners,CA,91502.0,35793.0
3792,delis/diners,CA,91606.0,41169.0
3793,delis/diners,CA,91505.0,300000.0
3798,delis/diners,CA,91505.0,300000.0
3800,delis/diners,CA,91505.0,300000.0
3811,delis/diners,CA,91505.0,300000.0
3813,delis/diners,CA,90068.0,98295.0
3814,delis/diners,CA,91506.0,300000.0
3818,delis/diners,CA,91502.0,35793.0
3821,delis/diners,CA,91604.0,300000.0
3828,delis/diners,CA,91604.0,300000.0
3829,delis/diners,CA,91504.0,63799.0
3834,delis/diners,CA,91606.0,41169.0
3835,delis/diners,CA,91606.0,41169.0
3844,delis/diners,CA,91405.0,37333.0
3852,delis/diners,CA,91401.0,54369.0
3856,delis/diners,CA,91791.0,104414.0
3859,delis/diners,CA,91702.0,76099.0
3861,delis/diners,CA,91791.0,104414.0
3862,delis/diners,CA,91706.0,42556.0
3863,delis/diners,CA,91741.0,300000.0
3874,delis/diners,CA,91790.0,300000.0
3876,delis/diners,CA,91741.0,300000.0
3883,delis/diners,CA,91741.0,300000.0
3884,delis/diners,CA,91724.0,62609.0
3886,delis/diners,CA,91740.0,300000.0
3887,delis/diners,CA,91740.0,300000.0
3888,delis/diners,CA,91730.0,85634.0
3892,delis/diners,CA,91730.0,85634.0
3894,delis/diners,CA,91764.0,44939.0
3896,delis/diners,CA,91730.0,85634.0
3897,delis/diners,CA,91764.0,44939.0
3898,delis/diners,CA,91764.0,44939.0
3903,delis/diners,CA,91764.0,44939.0
3909,delis/diners,CA,91701.0,34071.0
3915,delis/diners,CA,91701.0,34071.0
3916,delis/diners,CA,91764.0,44939.0
3920,delis/diners,CA,90640.0,49628.0
3922,delis/diners,CA,91801.0,104023.0
3924,delis/diners,CA,90640.0,49628.0
3925,delis/diners,CA,91801.0,104023.0
3928,delis/diners,CA,90022.0,44387.0
3932,delis/diners,CA,91770.0,66462.0
3950,delis/diners,CA,92101.0,69051.0
3958,delis/diners,CA,92106.0,300000.0
3961,delis/diners,CA,92101.0,69051.0
3964,delis/diners,CA,92101.0,69051.0
3965,delis/diners,CA,92104.0,54831.0
3967,delis/diners,CA,92110.0,122111.0
3968,delis/diners,CA,92116.0,37570.0
3972,delis/diners,CA,92107.0,92153.0
3981,delis/diners,CA,92116.0,37570.0
3987,delis/diners,CA,92115.0,28255.0
4028,delis/diners,CA,92103.0,88389.0
4043,delis/diners,CA,92105.0,300000.0
4060,delis/diners,CA,92113.0,30148.0
4074,delis/diners,CA,93277.0,87021.0
4076,delis/diners,CA,93277.0,87021.0
4103,delis/diners,CA,93277.0,87021.0
4126,delis/diners,CA,93277.0,87021.0
4133,delis/diners,CA,93291.0,25640.0
4134,delis/diners,CA,93291.0,25640.0
4138,delis/diners,CA,93291.0,25640.0
4150,delis/diners,CA,93304.0,56986.0
4154,delis/diners,CA,93309.0,42479.0
4161,delis/diners,CA,93304.0,56986.0
4189,delis/diners,CA,93309.0,42479.0
4190,delis/diners,CA,93309.0,42479.0
4198,delis/diners,CA,93306.0,59094.0
4262,delis/diners,CA,93309.0,42479.0
4275,delis/diners,CA,93312.0,68372.0
4277,delis/diners,CA,93312.0,68372.0
4278,delis/diners,CA,93308.0,35774.0
4302,delis/diners,CA,93311.0,91187.0
4315,delis/diners,CA,93422.0,17700.0
4320,delis/diners,CA,93433.0,300000.0
4321,delis/diners,CA,93449.0,94742.0
4337,delis/diners,CA,93449.0,94742.0
4340,delis/diners,CA,93445.0,48931.0
4349,delis/diners,CA,93420.0,63124.0
4357,delis/diners,CA,93420.0,63124.0
4358,delis/diners,CA,93420.0,63124.0
4386,delis/diners,CA,93534.0,56932.0
4393,delis/diners,CA,93534.0,56932.0
4397,delis/diners,CA,93534.0,56932.0
4398,delis/diners,CA,93535.0,38578.0
4399,delis/diners,CA,93534.0,56932.0
4404,delis/diners,CA,93536.0,57343.0
4409,delis/diners,CA,93535.0,38578.0
4410,delis/diners,CA,93535.0,38578.0
4413,delis/diners,CA,93612.0,46353.0
4414,delis/diners,CA,93710.0,30873.0
4415,delis/diners,CA,93612.0,46353.0
4417,delis/diners,CA,93611.0,89265.0
4427,delis/diners,CA,93612.0,46353.0
4448,delis/diners,CA,93720.0,43176.0
4455,delis/diners,CA,93611.0,89265.0
4456,delis/diners,CA,93612.0,46353.0
4461,delis/diners,CA,93611.0,89265.0
4467,delis/diners,CA,93611.0,89265.0
4486,delis/diners,CA,93702.0,24284.0
4498,delis/diners,CA,93706.0,18241.0
4499,delis/diners,CA,93721.0,27171.0
4501,delis/diners,CA,93727.0,300000.0
4502,delis/diners,CA,93703.0,21914.0
4503,delis/diners,CA,93703.0,21914.0
4504,delis/diners,CA,93703.0,21914.0
4505,delis/diners,CA,93721.0,27171.0
4506,delis/diners,CA,93725.0,32819.0
4516,delis/diners,CA,93710.0,30873.0
4519,delis/diners,CA,93726.0,46592.0
4521,delis/diners,CA,93702.0,24284.0
4528,delis/diners,CA,93721.0,27171.0
4529,delis/diners,CA,93704.0,75728.0
4535,delis/diners,CA,93726.0,46592.0
4547,delis/diners,CA,93711.0,83707.0
4549,delis/diners,CA,93704.0,75728.0
4560,delis/diners,CA,93705.0,58859.0
4561,delis/diners,CA,93710.0,30873.0
4569,delis/diners,CA,93710.0,30873.0
4575,delis/diners,CA,93710.0,30873.0
4577,delis/diners,CA,93710.0,30873.0
4581,delis/diners,CA,93705.0,58859.0
4584,delis/diners,CA,93726.0,46592.0
4587,delis/diners,CA,93710.0,30873.0
4590,delis/diners,CA,93705.0,58859.0
4601,delis/diners,CA,93711.0,83707.0
4603,delis/diners,CA,93728.0,23315.0
4607,delis/diners,CA,93722.0,53793.0
4608,delis/diners,CA,93722.0,53793.0
4622,delis/diners,CA,93720.0,43176.0
4624,delis/diners,CA,93720.0,43176.0
4625,delis/diners,CA,93710.0,30873.0
4637,delis/diners,CA,93711.0,83707.0
4643,delis/diners,CA,93720.0,43176.0
4648,delis/diners,CA,93720.0,43176.0
4649,delis/diners,CA,93611.0,89265.0
4655,delis/diners,CA,93726.0,46592.0
4659,delis/diners,CA,93722.0,53793.0
4661,delis/diners,CA,94080.0,96033.0
4663,delis/diners,CA,94112.0,83574.0
4675,delis/diners,CA,94080.0,96033.0
4680,delis/diners,CA,94134.0,300000.0
4681,delis/diners,CA,94014.0,74953.0
4685,delis/diners,CA,94132.0,67378.0
4687,delis/diners,CA,94014.0,74953.0
4689,delis/diners,CA,94132.0,67378.0
4693,delis/diners,CA,94134.0,300000.0
4695,delis/diners,CA,94080.0,96033.0
4704,delis/diners,CA,94110.0,38568.0
4705,delis/diners,CA,94015.0,300000.0
4706,delis/diners,CA,94080.0,96033.0
4707,delis/diners,CA,94112.0,83574.0
4709,delis/diners,CA,94132.0,67378.0
4711,delis/diners,CA,94070.0,69384.0
4714,delis/diners,CA,94063.0,43771.0
4725,delis/diners,CA,94043.0,97043.0
4727,delis/diners,CA,95051.0,108998.0
4729,delis/diners,CA,94087.0,113437.0
