,res_type,state_ab,zip_code,median
2030,mex/tex-mex,CA,90403.0,156861.0
2038,mex/tex-mex,CA,90502.0,63800.0
2052,mex/tex-mex,CA,90745.0,57020.0
2064,mex/tex-mex,CA,90710.0,48109.0
2067,mex/tex-mex,CA,90505.0,300000.0
2069,mex/tex-mex,CA,90745.0,57020.0
2084,mex/tex-mex,CA,90501.0,63008.0
2087,mex/tex-mex,CA,90501.0,63008.0
2088,mex/tex-mex,CA,90745.0,57020.0
2090,mex/tex-mex,CA,90746.0,48895.0
2107,mex/tex-mex,CA,90254.0,117114.0
2112,mex/tex-mex,CA,90247.0,35604.0
2115,mex/tex-mex,CA,90247.0,35604.0
2118,mex/tex-mex,CA,90504.0,300000.0
2120,mex/tex-mex,CA,90504.0,300000.0
2125,mex/tex-mex,CA,90501.0,63008.0
2131,mex/tex-mex,CA,90503.0,300000.0
2141,mex/tex-mex,CA,90505.0,300000.0
2150,mex/tex-mex,CA,90501.0,63008.0
2151,mex/tex-mex,CA,90505.0,300000.0
2160,mex/tex-mex,CA,90605.0,300000.0
2168,mex/tex-mex,CA,90605.0,300000.0
2180,mex/tex-mex,CA,90638.0,96936.0
2181,mex/tex-mex,CA,90605.0,300000.0
2184,mex/tex-mex,CA,90601.0,78658.0
2185,mex/tex-mex,CA,90604.0,62108.0
2189,mex/tex-mex,CA,90606.0,58849.0
2191,mex/tex-mex,CA,90604.0,62108.0
2202,mex/tex-mex,CA,90602.0,48157.0
2205,mex/tex-mex,CA,90670.0,60661.0
2212,mex/tex-mex,CA,90605.0,300000.0
2217,mex/tex-mex,CA,90605.0,300000.0
2218,mex/tex-mex,CA,90605.0,300000.0
2222,mex/tex-mex,CA,90602.0,48157.0
2232,mex/tex-mex,CA,90638.0,96936.0
2243,mex/tex-mex,CA,90602.0,48157.0
2247,mex/tex-mex,CA,90602.0,48157.0
2253,mex/tex-mex,CA,90240.0,300000.0
2255,mex/tex-mex,CA,90604.0,62108.0
2257,mex/tex-mex,CA,90660.0,73063.0
2258,mex/tex-mex,CA,90660.0,73063.0
2278,mex/tex-mex,CA,90640.0,49628.0
2280,mex/tex-mex,CA,90660.0,73063.0
2284,mex/tex-mex,CA,90602.0,48157.0
2286,mex/tex-mex,CA,90660.0,73063.0
2291,mex/tex-mex,CA,92801.0,47315.0
2293,mex/tex-mex,CA,90630.0,300000.0
2298,mex/tex-mex,CA,92801.0,47315.0
2303,mex/tex-mex,CA,92804.0,300000.0
2310,mex/tex-mex,CA,90620.0,73636.0
2314,mex/tex-mex,CA,90680.0,47046.0
2324,mex/tex-mex,CA,90621.0,52358.0
2326,mex/tex-mex,CA,90630.0,300000.0
2327,mex/tex-mex,CA,90620.0,73636.0
2332,mex/tex-mex,CA,92833.0,300000.0
2334,mex/tex-mex,CA,90630.0,300000.0
2347,mex/tex-mex,CA,90638.0,96936.0
2356,mex/tex-mex,CA,90638.0,96936.0
2361,mex/tex-mex,CA,90631.0,72539.0
2363,mex/tex-mex,CA,92801.0,47315.0
2364,mex/tex-mex,CA,92801.0,47315.0
2370,mex/tex-mex,CA,92801.0,47315.0
2372,mex/tex-mex,CA,90740.0,65316.0
2382,mex/tex-mex,CA,90630.0,300000.0
2385,mex/tex-mex,CA,90680.0,47046.0
2388,mex/tex-mex,CA,90701.0,61821.0
2392,mex/tex-mex,CA,90716.0,96094.0
2393,mex/tex-mex,CA,90720.0,43461.0
2402,mex/tex-mex,CA,90740.0,65316.0
2411,mex/tex-mex,CA,90716.0,96094.0
2420,mex/tex-mex,CA,90631.0,72539.0
2429,mex/tex-mex,CA,92833.0,300000.0
2432,mex/tex-mex,CA,90631.0,72539.0
2433,mex/tex-mex,CA,90631.0,72539.0
2436,mex/tex-mex,CA,92832.0,92860.0
2439,mex/tex-mex,CA,90631.0,72539.0
2442,mex/tex-mex,CA,90631.0,72539.0
2443,mex/tex-mex,CA,92832.0,92860.0
2445,mex/tex-mex,CA,90631.0,72539.0
2448,mex/tex-mex,CA,92821.0,64980.0
2451,mex/tex-mex,CA,90631.0,72539.0
2452,mex/tex-mex,CA,90631.0,72539.0
2463,mex/tex-mex,CA,90670.0,60661.0
2469,mex/tex-mex,CA,90620.0,73636.0
2470,mex/tex-mex,CA,92833.0,300000.0
2477,mex/tex-mex,CA,90650.0,300000.0
2478,mex/tex-mex,CA,91733.0,33670.0
2480,mex/tex-mex,CA,90606.0,58849.0
2482,mex/tex-mex,CA,90640.0,49628.0
2491,mex/tex-mex,CA,91770.0,66462.0
2492,mex/tex-mex,CA,90640.0,49628.0
2494,mex/tex-mex,CA,90640.0,49628.0
2496,mex/tex-mex,CA,90606.0,58849.0
2498,mex/tex-mex,CA,91754.0,60854.0
2500,mex/tex-mex,CA,90660.0,73063.0
2501,mex/tex-mex,CA,90640.0,49628.0
2505,mex/tex-mex,CA,90640.0,49628.0
2513,mex/tex-mex,CA,90650.0,300000.0
2517,mex/tex-mex,CA,90701.0,61821.0
2527,mex/tex-mex,CA,90703.0,96089.0
2533,mex/tex-mex,CA,90650.0,300000.0
2534,mex/tex-mex,CA,90022.0,44387.0
2537,mex/tex-mex,CA,90606.0,58849.0
2541,mex/tex-mex,CA,90640.0,49628.0
2542,mex/tex-mex,CA,90640.0,49628.0
2544,mex/tex-mex,CA,90660.0,73063.0
2546,mex/tex-mex,CA,90022.0,44387.0
2553,mex/tex-mex,CA,90660.0,73063.0
2554,mex/tex-mex,CA,90660.0,73063.0
2564,mex/tex-mex,CA,90650.0,300000.0
2565,mex/tex-mex,CA,90650.0,300000.0
2569,mex/tex-mex,CA,90638.0,96936.0
2570,mex/tex-mex,CA,90660.0,73063.0
2576,mex/tex-mex,CA,90650.0,300000.0
2579,mex/tex-mex,CA,90650.0,300000.0
2580,mex/tex-mex,CA,90630.0,300000.0
2584,mex/tex-mex,CA,92804.0,300000.0
2594,mex/tex-mex,CA,92683.0,43211.0
2595,mex/tex-mex,CA,92683.0,43211.0
2600,mex/tex-mex,CA,92841.0,67012.0
2602,mex/tex-mex,CA,90630.0,300000.0
2604,mex/tex-mex,CA,92804.0,300000.0
2607,mex/tex-mex,CA,92683.0,43211.0
2613,mex/tex-mex,CA,92804.0,300000.0
2620,mex/tex-mex,CA,92804.0,300000.0
2625,mex/tex-mex,CA,90713.0,75940.0
2648,mex/tex-mex,CA,90701.0,61821.0
2649,mex/tex-mex,CA,90650.0,300000.0
2652,mex/tex-mex,CA,90703.0,96089.0
2668,mex/tex-mex,CA,90712.0,99591.0
2670,mex/tex-mex,CA,90706.0,300000.0
