Name,Type,Address,Zip Code
"('HanShik Express',)",korean,"('3959 Wilshire Blvd',)","('90010',)"
"('Blue Bird Burgers',)",burgers,"('3601 W 3rd St',)","('90020',)"
"('Panda Express',)",chinese,"('2828 S. Figueroa St.',)","('90007',)"
"(""Gus's Drive In"",)",tradamerican,"('1657 W 3rd St',)","('90017',)"
"('FryMadness',)",tradamerican,"('555 S Spring St',)","('90013',)"
"('The Red Chickz',)",chickenshop,"('557 S Spring St',)","('90013',)"
"(""Cassell's Hamburgers"",)",tradamerican,"('3600 W 6th St',)","('90020',)"
"('Taco Bell',)",hotdogs,"('3029 W 8th St',)","('90005',)"
"('Tacos 1986',)",tacos,"('609 S Spring St',)","('90014',)"
"('Taco Bell',)",hotdogs,"('103 S Rampart Blvd',)","('90057',)"
"('Dirt Dog',)",hotdog,"('2528 S Figueroa St',)","('90007',)"
"('Five Guys',)",burgers,"('530 W 27th St',)","('90007',)"
"('L.A Birria Pizza',)",pizza,"('2190 W Washington Bvld',)","('90018',)"
"('Brothers Sandwich Shop',)",sandwiches,"('3274 W 6th St',)","('90020',)"
"('King Taco',)",mexican,"('645 E Washington Blvd',)","('90015',)"
"('Wienerschnitzel',)",hotdog,"('3619 W Olympic Blvd',)","('90019',)"
"('Jack in the Box',)",burgers,"('2120 W Pico Blvd',)","('90006',)"
"('Two Hands Hotdog',)",hotdog,"('450 S Western Ave',)","('90020',)"
"('BurgerShop',)",burgers,"('724 S Spring St',)","('90014',)"
"('Monty’s Chicken & Waffles',)",waffles,"('358 W 38th St',)","('90037',)"
"('Figueroa Philly Cheese Steak',)",cheesesteaks,"('358 W 38th St',)","('90037',)"
"('Blaze Pizza',)",salad,"('3335 S Figueroa St',)","('90007',)"
"('Golden Burger 11',)",hotdogs,"('1938 W 3rd St',)","('90057',)"
"('Jollibee',)",chickenshop,"('729 7th St',)","('90017',)"
"(""Dino's Chicken and Burgers"",)",burgers,"('2575 W Pico Blvd',)","('90006',)"
"(""Original Tommy's World Famous Hamburgers"",)",burgers,"('2575 Beverly Blvd',)","('90057',)"
"('Chick-fil-A',)",hotdogs,"('3758 S Figueroa St',)","('90007',)"
"('Caveman Kitchen',)",latin,"('2215 S Vermont Ave',)","('90007',)"
"(""McDonald's"",)",hotdogs,"('201 W Washington Blvd',)","('90007',)"
"('Jack in the Box',)",hotdogs,"('1615 S Broadway',)","('90015',)"
"('Chick-fil-A',)",hotdogs,"('660 S Figueroa St',)","('90017',)"
"('Smashburger',)",burgers,"('1011 S Figueroa St',)","('90015',)"
"('Blaze Pizza',)",salad,"('3335 S Figueroa St',)","('90007',)"
"('Fixins Soul Kitchen - Los Angeles',)",soulfood,"('800 W Olympic Blvd',)","('90015',)"
"('Monty’s Chicken & Waffles',)",waffles,"('358 W 38th St',)","('90037',)"
"('Panda Express',)",chinese,"('2828 S. Figueroa St.',)","('90007',)"
"(""Papa's Chicken"",)",chicken_wings,"('3003 W Olympic Blvd',)","('90006',)"
"('Guisados DTLA',)",mexican,"('541 S Spring St',)","('90013',)"
"('Fatburger',)",tradamerican,"('888 S Figueroa St',)","('90017',)"
"('King Taco',)",mexican,"('645 E Washington Blvd',)","('90015',)"
"('Figueroa Philly Cheese Steak',)",cheesesteaks,"('358 W 38th St',)","('90037',)"
"('Five Guys',)",burgers,"('530 W 27th St',)","('90007',)"
"(""Chin's Hawaiian Teriyaki Bbq Chicken"",)",bbq,"('1708 S Western Ave',)","('90006',)"
"('Dirt Dog',)",hotdog,"('2528 S Figueroa St',)","('90007',)"
"('Tacos Gavilan',)",mexican,"('1900 S Central Ave',)","('90011',)"
"('The Red Chickz',)",chickenshop,"('557 S Spring St',)","('90013',)"
"('FryMadness',)",tradamerican,"('555 S Spring St',)","('90013',)"
"(""Dave's Hot Chicken"",)",chickenshop,"('3462 Wilshire Blvd',)","('90010',)"
"('Tacos 1986',)",tacos,"('609 S Spring St',)","('90014',)"
"('BurgerShop',)",burgers,"('724 S Spring St',)","('90014',)"
"('Farmer Boys',)",breakfast_brunch,"('726 S Alameda St',)","('90021',)"
"('Jack in the Box',)",burgers,"('2921 S Figueroa St',)","('90007',)"
"('Mee Dee Thai Kitchen',)",thai,"('358 W 38th St',)","('90037',)"
"('Mr Fries Man',)",hotdogs,"('3844 S Figueroa St',)","('90037',)"
"('77 Kentucky',)",chicken_wings,"('698 S Vermont Ave',)","('90005',)"
"(""Gus's World Famous Fried Chicken"",)",southern,"('1262 Crenshaw Blvd',)","('90019',)"
