Name,Type,Address,Zip Code
"('Papa Johns Pizza',)",pizza,"('3604 Gallatin Pike',)","('37216',)"
"(""Captain D's"",)",seafood,"('3708 Gallatin Pike',)","('37216',)"
"('Bob Evans',)",breakfast_brunch,"('200 Rudy Cir',)","('37214',)"
"('Olive Garden Italian Restaurant',)",italian,"('1711 Gallatin Rd N',)","('37115',)"
"(""Chili's"",)",tradamerican,"('1820 Gallatin Pike N',)","('37115',)"
"('Scoreboard Bar & Grill',)",tradamerican,"('2408 Music Valley Dr',)","('37214',)"
"('Solario Cantina',)",mexican,"('2800 Opryland Dr',)","('37214',)"
"('Fiesta Mexicana',)",mexican,"('3935 Gallatin Pike',)","('37216',)"
"(""McDonald's"",)",hotdogs,"('775 Nissan Dr',)","('37167',)"
"(""Jimmy John's"",)",hotdogs,"('812 Nissan Dr',)","('37167',)"
"('Burger King',)",burgers,"('6000 Tridon Dr',)","('37167',)"
"(""McDonald's"",)",burgers,"('345 N Lowry St',)","('37167',)"
"('Burger King',)",burgers,"('Almaville Rd',)","('37167',)"
"('Margarita House',)",mexican,"('145 N Lowry St',)","('37167',)"
"('Daddys Dogs - Nashville',)",foodstands,"('423 6th Ave S',)","('37203',)"
"(""Duke's"",)",bars,"('1000 Main St',)","('37206',)"
"(""Varallo's Restaurants"",)",diners,"('239 4th Ave N',)","('37219',)"
"('Popeyes Louisiana Kitchen',)",hotdogs,"('914 Jefferson St',)","('37208',)"
"(""Jimmy John's"",)",delis,"('424 Church St',)","('37219',)"
"('San Antonio Taco Co',)",tex-mex,"('416 21st Ave S',)","('37203',)"
"(""Robert's Western World"",)",musicvenues,"('416 Broadway',)","('37203',)"
"(""Michaelangelo's Pizza"",)",pizza,"('205 22nd Ave N',)","('37203',)"
"(""Jimmy John's"",)",hotdogs,"('2318 West End Ave',)","('37203',)"
"('The Chile Burrito',)",mexican,"('162 4th Ave N',)","('37219',)"
"(""Hugh-Baby's"",)",burgers,"('975 Main St',)","('37206',)"
"('Wingstop',)",chicken_wings,"('2113 Elliston Pl',)","('37203',)"
"(""Big Al's Deli"",)",southern,"('1828 4th Ave N',)","('37208',)"
"('Chipotle Mexican Grill',)",mexican,"('400 21st Ave S',)","('37203',)"
"(""McDonald's"",)",hotdogs,"('2700 W End Ave',)","('37203',)"
"('Brothers Burger Joint',)",burgers,"('2821 Bransford Ave',)","('37204',)"
"(""Dino's"",)",bars,"('411 Gallatin Ave',)","('37206',)"
"('The Pharmacy',)",bars,"('731 McFerrin Ave',)","('37206',)"
"('InterAsian Market & Deli',)",delis,"('2160 Nolensville Pike',)","('37211',)"
"('Papa Johns Pizza',)",pizza,"('2316 West End Avenue',)","('37203',)"
"('Mellow Mushroom - Nashville',)",pizza,"('212 21st Ave S',)","('37203',)"
"(""McDonald's"",)",burgers,"('2612 8th Ave S',)","('37204',)"
"('Sonic Drive-In',)",hotdogs,"('2501 Franklin Rd',)","('37204',)"
"('Pokeworks',)",salad,"('416 11th Ave N',)","('37203',)"
"('Kebab Gyros Greek & Italian Food',)",italian,"('389 Murfreesboro Pike',)","('37210',)"
"('Taco Mama - Hillsboro Village',)",mexican,"('1612 21st Ave S',)","('37212',)"
"(""Jersey Mike's Subs"",)",sandwiches,"('2311 Elliston Pl',)","('37203',)"
"(""Prince's Hot Chicken Shack"",)",chicken_wings,"('423 6th Ave S',)","('37203',)"
"('Chick-fil-A',)",hotdogs,"('2120 Rosa L Parks Blvd',)","('37228',)"
"('Panda Express',)",chinese,"('2534 Powell Ave',)","('37204',)"
"('Fresh Pick Marketplace',)",newamerican,"('201 5th Ave S',)","('37203',)"
"('Smokin Thighs - Wedgewood',)",chicken_wings,"('611 Wedgewood Ave',)","('37203',)"
"('Emmy Squared Pizza - Germantown',)",pizza,"('1121 5th Ave N',)","('37208',)"
"('Chipotle Mexican Grill',)",mexican,"('2825 W End Ave',)","('37203',)"
"('Pizza Hut',)",pizza,"('1908 W End Ave',)","('37203',)"
"('Greko Greek Street Food',)",greek,"('704 Main St',)","('37206',)"
"('Taco Bell',)",mexican,"('2101 Rosa L. Parks Blvd.',)","('37228',)"
"(""Wendy's"",)",hotdogs,"('741 Thompson Ln',)","('37204',)"
"('Cinco De Mayo Mexican Restaurant - Nashville',)",mexican,"('209 10th Ave S',)","('37203',)"
"(""Luke's 32 Bridge Food + Drink"",)",cocktailbars,"('301 Broadway',)","('37201',)"
"('Baja Fresh',)",mexican,"('1211 Medical Center Dr',)","('37232',)"
"('Burger King',)",burgers,"('2011 8th Ave S',)","('37204',)"
"('Double Dogs - Hillsboro Village',)",sportsbars,"('1807 21st Ave S',)","('37212',)"
"(""McDonald's"",)",hotdogs,"('801 Vantage Way Ct',)","('37228',)"
"('Houndog Hot Dogs',)",hotdog,"('310 Broadway',)","('37246',)"
"('Proper Bagel',)",bagels,"('2011 Belmont Blvd',)","('37212',)"
"('Burger King',)",burgers,"('1501 Charlotte Ave',)","('37203',)"
"('Dairy Queen Grill & Chill',)",hotdogs,"('3404 W End Ave',)","('37203',)"
"(""McDonald's"",)",burgers,"('2212 Nolensville Rd',)","('37211',)"
"('Bartaco',)",mexican,"('2526 12th Ave S',)","('37204',)"
"('Stock & Barrel',)",burgers,"('901 Gleaves St',)","('37203',)"
"('CAVA',)",mediterranean,"('2171 Green Hills Village Dr',)","('37215',)"
"('Taco Express Mexican Grill',)",mexican,"('624 Grassmere Park',)","('37211',)"
"('QDOBA Mexican Eats',)",mexican,"('2019 W End Ave',)","('37203',)"
"('The Slider House',)",burgers,"('1907 Division St',)","('37203',)"
"('Mellow Mushroom - Nashville',)",pizza,"('212 21st Ave S',)","('37203',)"
"('Proper Bagel',)",bagels,"('2011 Belmont Blvd',)","('37212',)"
"(""McDonald's"",)",hotdogs,"('2700 W End Ave',)","('37203',)"
"('Wingstop',)",chicken_wings,"('2113 Elliston Pl',)","('37203',)"
"('Taco Mama - Hillsboro Village',)",mexican,"('1612 21st Ave S',)","('37212',)"
"('Papa Johns Pizza',)",pizza,"('222 Thompson Lane',)","('37211',)"
"(""Jersey Mike's Subs"",)",sandwiches,"('2184 Bandywood Dr',)","('37215',)"
"('Baja Fresh',)",mexican,"('1211 Medical Center Dr',)","('37232',)"
"('San Antonio Taco Co',)",tex-mex,"('416 21st Ave S',)","('37203',)"
"('Double Dogs - Hillsboro Village',)",sportsbars,"('1807 21st Ave S',)","('37212',)"
"('Papa Johns Pizza',)",pizza,"('4004 Hillsboro Pike',)","('37215',)"
"('Chopt Creative Salad Co.',)",salad,"('2126 Abbott Martin Rd',)","('37215',)"
